Variant_ID Norm_Expr_ref Norm_Expr_alt log2_fc p_value Chr Position GWAS_SNP 1kg_CEU_LD Significant_eQTL_gene Direction
rs111511018 1.547715637978992 2.6173326801866756 1.0696170422076836 1.0415411237002213e-05 17 43794828 rs199533 0.913968 ENSG00000120071 pos
rs112644159 2.023204327064064 0.30347854330643764 -1.7197257837576263 7.068273766352888e-06 17 43665343 rs199533 0.920075 ENSG00000120071 pos
rs113065267 1.0404017857142858 0.1136111114312889 -0.9267906742829969 9.746435204887162e-05 17 43807063 rs199533 0.8692129999999999 ENSG00000120071 pos
rs113517940 1.7699960317566936 0.7013717358137566 -1.068624295942937 8.885646491048917e-06 17 43801185 rs199533 0.913968 ENSG00000120071 pos
rs114284894 1.6182761053714152 0.19900852997813015 -1.419267575393285 0.007280117063202957 17 43815141 rs199533 0.913968 ENSG00000120071 pos
rs114812993 1.5019545476926093 2.058756668020918 0.5568021203283087 1.4072161687111432e-05 17 43808763 rs199533 0.913968 ENSG00000120071 pos
rs115635895 1.4050223523964391 0.20074192923095335 -1.2042804231654858 4.1230981985775237e-05 17 43816657 rs199533 0.913968 ENSG00000120071 pos
rs115915033 1.3539381281527643 0.33179409758840983 -1.0221440305643545 0.00022433402018915614 17 43807134 rs199533 0.8692129999999999 ENSG00000120071 pos
rs116100242 1.335813492063492 0.20148460125698925 -1.1343288908065028 7.85582988784586e-06 17 43812218 rs199533 0.913968 ENSG00000120071 pos
rs116103449 1.6777433559938255 0.5259023507849813 -1.1518410052088441 6.207723030081676e-05 17 43816605 rs199533 0.913968 ENSG00000120071 pos
rs116386160 1.4695440019793191 0.2314801803749947 -1.2380638216043245 2.0499252909841075e-06 17 43816655 rs199533 0.913968 ENSG00000120071 pos
rs116440705 1.9465452847805789 0.1471358981545006 -1.7994093866260783 0.00031775396212345625 17 43807113 rs199533 0.8692129999999999 ENSG00000120071 pos
rs116967306 1.3221042084890555 2.8667031634457234 1.5445989549566679 7.735033292835783e-05 17 43716885 rs199533 0.913968 ENSG00000120071 pos
rs117251220 0.9318395142487529 0.1665374115829121 -0.7653021026658408 5.6255290359027475e-06 17 43765450 rs199533 0.913968 ENSG00000120071 pos
rs117452529 1.347329015089683 0.09702124665455704 -1.250307768435126 0.36183680491588155 17 43733048 rs199533 0.913968 ENSG00000120071 pos
rs148098161 1.1747036344381896 1.2366466700809513 0.06194303564276171 0.010470176826979682 17 43822398 rs199533 0.913968 ENSG00000120071 pos
rs149744895 1.6062171689514055 1.1261918636918637 -0.4800253052595418 1.4022306156790641e-05 17 43730598 rs199533 0.913968 ENSG00000120071 pos
rs4378658 1.0483436619722735 1.7552002072200332 0.7068565452477598 0.011327247040044673 17 46993370 rs46522 1.0 ENSG00000159202 neg
rs4793995 0.40645661867752897 1.8289922289773728 1.4225356102998439 0.3527682028786904 17 47019399 rs46522 1.0 ENSG00000159202 neg
rs62075820 0.13320269264635662 1.4459736472287794 1.3127709545824229 0.03431679988374694 17 46983171 rs46522 1.0 ENSG00000159202 neg
rs62075844 0.6433895227460983 2.0983296728728877 1.4549401501267893 6.207723030081676e-05 17 47002389 rs46522 1.0 ENSG00000159202 neg
rs62078375 1.2449026319701855 1.7896141353046593 0.5447115033344738 0.2103759216834662 17 47034974 rs46522 1.0 ENSG00000159202 neg
rs76542740 1.9220846043979813 2.1030941945850192 0.18100959018703788 0.3960036921858269 15 43891512 rs2251844 0.908799 ENSG00000184716 pos
